Y,X1,X2,X3,X4,X5,X6,X7
39113,56.3,53.8,59,376,-1.1,-1.4,-0.7
45041,56.3,51.1,62,87,-1,-1.8,-0.2
48129,56.3,33.3,93.8,4,-0.3,-2.9,2.3
13205,56.2,44,70.8,15,-1.9,-3,-0.8
18145,56.2,47.4,66.3,30,-0.8,-2.2,0.5
19019,56.2,43.9,71,15,0.1,-1.3,1.6
21017,56.2,43.9,71.2,14,-1.3,-2.9,0.4
27095,56.2,45.3,69.1,19,0.8,-0.9,2.4
28141,56.2,44.3,70.8,16,-1.9,-3,-0.9
36053,56.2,49.3,63.9,49,0.2,-1.9,2.4
36015,56.2,50.2,62.8,66,-0.7,-1.4,0.1
39021,56.2,47,66.8,27,-0.1,-1.3,1.2
39143,56.2,48.9,64.4,43,0.3,-0.4,1
39139,56.2,51.1,61.6,93,-0.4,-1.2,0.3
45011,56.2,44,70.9,15,-1.9,-3.3,-0.4
45031,56.2,49.2,64,49,-2.9,-4.8,-0.9
1069,56.1,50.3,62.4,69,-1.1,-1.7,-0.5
17023,56.1,43.1,72.3,13,0.7,-0.7,2.1
17029,56.1,47.9,65.4,34,0.6,-0.6,1.8
20049,56.1,32,99.9,3,-0.7,-3.3,1.8
20099,56.1,44.1,70.4,16,1.2,-0.5,3
20085,56.1,41.2,75.1,10,0,-1.7,1.8
26119,56.1,41.4,76.4,11,-0.7,-2.6,1.2
27151,56.1,39.5,78.1,8,1.1,-1.3,3.6
29215,56.1,45.9,68.3,21,-0.2,-1.8,1.5
48251,56.1,50.8,61.8,86,-1.1,-1.6,-0.5
6033,56,49.3,63.4,53,-1.7,-2.6,-0.8
13105,56,43.8,70.8,15,-0.3,-1.9,1.3
13065,56,33.8,87.4,4,-0.6,-3.4,2.2
18027,56,45.5,68.3,20,-0.6,-2,0.8
20007,56,33.4,89.9,4,0.9,-1.5,3.3
28067,56,48.8,63.9,45,-1.2,-2,-0.5
37073,56,40.2,76.5,9,0.3,-2.2,2.8
40113,56,47.9,65.2,36,-1,-1.9,-0.1
51590,56,47.8,65.3,35,-0.8,-1.9,0.3
51650,56,50.6,61.8,80,-1.3,-1.9,-0.8
1083,55.9,49.1,63.4,51,-4,-7.7,-0.2
13237,55.9,44.4,69.9,17,-1.2,-2.7,0.4
13193,55.9,40.3,75.8,9,0.6,-1.6,2.8
18091,55.9,50.2,62,74,-0.8,-1.5,-0.2
27011,55.9,36.6,85.2,6,-0.3,-2.9,2.2
29059,55.9,42.9,72,13,-0.2,-1.7,1.3
40109,55.9,53.5,58.5,409,-1.2,-1.5,-0.9
47093,55.9,52.9,59,268,-2.9,-4.9,-0.9
53049,55.9,45.8,68.4,22,-1.3,-2.7,0.2
54075,55.9,39.4,78.3,8,0.1,-2.3,2.6
5103,55.8,45.3,68.2,20,-1,-2.7,0.6
12053,55.8,52.1,59.7,183,-3.2,-4.8,-1.5
17025,55.8,41.6,73.8,11,-0.3,-1.9,1.4
31173,55.8,32.8,88.4,4,**,**,**
37195,55.8,49.3,62.9,55,-1.1,-1.8,-0.3
37167,55.8,48.5,63.8,43,-0.3,-1.3,0.8
48485,55.8,50.4,61.6,79,-7.2,-11.6,-2.6
17061,55.7,41.8,73.3,11,0.6,-1.3,2.6
29047,55.7,51.3,60.4,122,-0.9,-1.5,-0.3
30099,55.7,36.6,83.4,5,-0.6,-3.8,2.7
36021,55.7,49.1,63.1,52,-0.7,-1.6,0.3
39123,55.7,47.6,65,35,0.4,-0.8,1.6
39061,55.7,53.5,58,500,-2.1,-2.9,-1.4
48409,55.7,48,64.2,39,-1.4,-2.4,-0.4
48277,55.7,47.7,64.6,36,-1.1,-2,-0.1
55107,55.7,43.1,71.8,13,0.8,-0.9,2.4
5057,55.6,43.9,69.8,16,-1,-2.5,0.5
21145,55.6,48.7,63.2,49,-5.7,-10.2,-1
22119,55.6,47,65.6,30,-0.8,-2,0.4
28153,55.6,43.2,70.8,14,0.1,-1.3,1.6
29081,55.6,39,77.9,8,0.5,-1.4,2.5
29079,55.6,39.9,76.3,9,-1.2,-3.1,0.7
48183,55.6,50.1,61.6,76,-1.3,-1.9,-0.8
51036,55.6,37.9,81,7,-3.4,-5.7,-1
13115,55.5,49.5,62.1,63,-11.9,-21.7,-0.9
17033,55.5,43.7,69.9,15,0.2,-1.5,1.9
19179,55.5,46.1,66.3,25,-0.1,-1.6,1.5
29145,55.5,48,63.9,40,-1.4,-2.1,-0.7
34015,55.5,51.8,59.4,172,-3.2,-5.1,-1.2
39167,55.5,48.6,63.1,49,-0.5,-1.4,0.5
12009,55.4,53.2,57.7,487,-1.3,-1.6,-1
26131,55.4,38.8,81.1,8,0.2,-1.7,2.1
39095,55.4,52.4,58.4,275,-1.1,-1.4,-0.7
39085,55.4,51.7,59.3,169,-0.8,-1.3,-0.3
